==============================================================================
  GO BP enrichment — LROT LR genes (v2: real background, deduped)
==============================================================================

Annotation source : GO go-basic.obo + mgi.gaf.gz (MGI, mouse)
Aspect            : biological_process only; NOT qualifiers excluded
Foreground        : 109 LR genes (109/109 annotated)
Background        : 27424 mouse genes with >=1 BP annotation
True-path rule    : annotations propagated to ancestors (is_a/part_of)
Test              : Fisher exact (one-sided greater); BH over all 4280 tested terms
Reported          : padj < 0.05 AND >=3 foreground genes

GO ID        Term                                                     fg      bg     fold        p      p_adj
GO:0021532   neural tube patterning                                    6      41     36.8  3.2e-08    1.7e-07
GO:0021543   pallium development                                      10     224     11.2  3.3e-08    1.8e-07
GO:0042102   positive regulation of T cell proliferation               8     116     17.4  3.5e-08    1.9e-07
GO:0002237   response to molecule of bacterial origin                 13     446      7.3  3.6e-08    1.9e-07
GO:0048645   animal organ formation                                    6      42     35.9  3.6e-08    2.0e-07
GO:0090049   regulation of cell migration involved in sprouting ang    6      42     35.9  3.6e-08    2.0e-07
GO:0042733   embryonic digit morphogenesis                             7      75     23.5  3.7e-08    2.0e-07
GO:0045471   response to ethanol                                       9     169     13.4  3.9e-08    2.2e-07
GO:0090263   positive regulation of canonical Wnt signaling pathway    8     119     16.9  4.2e-08    2.3e-07
GO:0060841   venous blood vessel development                           5      20     62.9  4.4e-08    2.4e-07
GO:0048609   multicellular organismal reproductive process            20    1178      4.3  4.5e-08    2.5e-07
GO:0032760   positive regulation of tumor necrosis factor productio    8     121     16.6  4.8e-08    2.6e-07
GO:0060685   regulation of prostatic bud formation                     4       6    167.7  4.8e-08    2.6e-07
GO:0072103   glomerulus vasculature morphogenesis                      4       6    167.7  4.8e-08    2.6e-07
GO:0072104   glomerular capillary formation                            4       6    167.7  4.8e-08    2.6e-07
GO:0097490   sympathetic neuron projection extension                   4       6    167.7  4.8e-08    2.6e-07
GO:0021879   forebrain neuron differentiation                          7      79     22.3  5.2e-08    2.8e-07
GO:1903557   positive regulation of tumor necrosis factor superfami    8     123     16.4  5.4e-08    2.9e-07
GO:0002067   glandular epithelial cell differentiation                 5      21     59.9  5.5e-08    2.9e-07
GO:0048557   embryonic digestive tract morphogenesis                   5      21     59.9  5.5e-08    2.9e-07
GO:0071900   regulation of protein serine/threonine kinase activity    9     176     12.9  5.5e-08    3.0e-07
GO:0061035   regulation of cartilage development                       7      80     22.0  5.6e-08    3.0e-07
GO:0071621   granulocyte chemotaxis                                    7      80     22.0  5.6e-08    3.0e-07
GO:0048008   platelet-derived growth factor receptor signaling path    6      46     32.8  5.9e-08    3.1e-07
GO:0050850   positive regulation of calcium-mediated signaling         7      81     21.7  6.1e-08    3.3e-07
GO:0051052   regulation of DNA metabolic process                      14     557      6.3  6.1e-08    3.3e-07
GO:0097190   apoptotic signaling pathway                              11     311      8.9  6.5e-08    3.5e-07
GO:1900744   regulation of p38MAPK cascade                             6      47     32.1  6.6e-08    3.5e-07
GO:1904707   positive regulation of vascular associated smooth musc    6      47     32.1  6.6e-08    3.5e-07
GO:0048486   parasympathetic nervous system development                5      22     57.2  6.7e-08    3.5e-07
GO:0042303   molting cycle                                             8     128     15.7  7.2e-08    3.8e-07
GO:0042633   hair cycle                                                8     128     15.7  7.2e-08    3.8e-07
GO:0021800   cerebral cortex tangential migration                      4       7    143.8  7.5e-08    4.0e-07
GO:0046649   lymphocyte activation                                    14     570      6.2  8.1e-08    4.3e-07
GO:0042481   regulation of odontogenesis                               5      23     54.7  8.1e-08    4.3e-07
GO:0050966   detection of mechanical stimulus involved in sensory p    5      23     54.7  8.1e-08    4.3e-07
GO:0051968   positive regulation of synaptic transmission, glutamat    6      49     30.8  8.3e-08    4.4e-07
GO:0061005   cell differentiation involved in kidney development       6      49     30.8  8.3e-08    4.4e-07
GO:1903670   regulation of sprouting angiogenesis                      6      49     30.8  8.3e-08    4.4e-07
GO:2001239   regulation of extrinsic apoptotic signaling pathway in    6      49     30.8  8.3e-08    4.4e-07
GO:0046890   regulation of lipid biosynthetic process                 10     249     10.1  8.6e-08    4.5e-07
GO:0007492   endoderm development                                      7      86     20.5  9.0e-08    4.7e-07
GO:0002700   regulation of production of molecular mediator of immu    9     188     12.0  9.4e-08    4.9e-07
GO:0003283   atrial septum development                                 5      24     52.4  9.8e-08    5.1e-07
GO:0021889   olfactory bulb interneuron differentiation                5      24     52.4  9.8e-08    5.1e-07
GO:0001666   response to hypoxia                                      11     327      8.5  1.1e-07    5.6e-07
GO:0003129   heart induction                                           4       8    125.8  1.1e-07    5.8e-07
GO:0021936   regulation of cerebellar granule cell precursor prolif    4       8    125.8  1.1e-07    5.8e-07
GO:0048842   positive regulation of axon extension involved in axon    4       8    125.8  1.1e-07    5.8e-07
GO:1905331   negative regulation of morphogenesis of an epithelium     4       8    125.8  1.1e-07    5.8e-07
GO:0008543   fibroblast growth factor receptor signaling pathway       6      52     29.0  1.1e-07    5.9e-07
GO:0030501   positive regulation of bone mineralization                6      52     29.0  1.1e-07    5.9e-07
GO:0048670   regulation of collateral sprouting                        5      25     50.3  1.2e-07    6.0e-07
GO:0001101   response to acid chemical                                10     259      9.7  1.2e-07    6.3e-07
GO:0060251   regulation of glial cell proliferation                    6      53     28.5  1.3e-07    6.6e-07
GO:0008015   blood circulation                                        13     501      6.5  1.3e-07    6.8e-07
GO:0045665   negative regulation of neuron differentiation             7      92     19.1  1.4e-07    7.1e-07
GO:0055006   cardiac cell development                                  7      92     19.1  1.4e-07    7.1e-07
GO:0048247   lymphocyte chemotaxis                                     5      26     48.4  1.4e-07    7.1e-07
GO:1903131   mononuclear cell differentiation                         12     417      7.2  1.4e-07    7.2e-07
GO:0030902   hindbrain development                                     9     198     11.4  1.4e-07    7.3e-07
GO:1903036   positive regulation of response to wounding               7      93     18.9  1.5e-07    7.6e-07
GO:0021761   limbic system development                                 8     142     14.2  1.5e-07    7.8e-07
GO:0050974   detection of mechanical stimulus involved in sensory p    6      55     27.4  1.6e-07    7.9e-07
GO:0003344   pericardium morphogenesis                                 4       9    111.8  1.6e-07    8.1e-07
GO:0008354   primordial germ cell migration                            4       9    111.8  1.6e-07    8.1e-07
GO:0022028   tangential migration from the subventricular zone to t    4       9    111.8  1.6e-07    8.1e-07
GO:0031622   positive regulation of fever generation                   4       9    111.8  1.6e-07    8.1e-07
GO:0060174   limb bud formation                                        4       9    111.8  1.6e-07    8.1e-07
GO:0060462   lung lobe development                                     4       9    111.8  1.6e-07    8.1e-07
GO:0060463   lung lobe morphogenesis                                   4       9    111.8  1.6e-07    8.1e-07
GO:0061549   sympathetic ganglion development                          4       9    111.8  1.6e-07    8.1e-07
GO:0070100   negative regulation of chemokine-mediated signaling pa    4       9    111.8  1.6e-07    8.1e-07
GO:1905276   regulation of epithelial tube formation                   4       9    111.8  1.6e-07    8.1e-07
GO:1905278   positive regulation of epithelial tube formation          4       9    111.8  1.6e-07    8.1e-07
GO:1905653   positive regulation of artery morphogenesis               4       9    111.8  1.6e-07    8.1e-07
GO:2000826   regulation of heart morphogenesis                         4       9    111.8  1.6e-07    8.1e-07
GO:0007204   positive regulation of cytosolic calcium ion concentra    9     201     11.3  1.6e-07    8.1e-07
GO:0021871   forebrain regionalization                                 5      27     46.6  1.6e-07    8.2e-07
GO:1901623   regulation of lymphocyte chemotaxis                       5      27     46.6  1.6e-07    8.2e-07
GO:0021795   cerebral cortex cell migration                            6      56     27.0  1.7e-07    8.6e-07
GO:0070201   regulation of establishment of protein localization      14     608      5.8  1.7e-07    8.7e-07
GO:1901654   response to ketone                                       10     270      9.3  1.8e-07    8.8e-07
GO:0141124   intracellular signaling cassette                         16     815      4.9  1.8e-07    8.9e-07
GO:1903035   negative regulation of response to wounding               7      96     18.3  1.8e-07    9.0e-07
GO:0021987   cerebral cortex development                               8     146     13.8  1.9e-07    9.3e-07
GO:0070482   response to oxygen levels                                12     429      7.0  1.9e-07    9.4e-07
